case_id,operator_id,operator,hardware,method,status,reason,latency_us,mode
train:matmul|modeling:H200_Server|roofline,train:matmul,MatMul,modeling:H200_Server,roofline,succeeded,,0.5461333333333334,roofline
train:matmul|modeling:H200_Server|tilesim,train:matmul,MatMul,modeling:H200_Server,tilesim,unsupported,TileSim 的 H200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:H200_Server|method3,train:matmul,MatMul,modeling:H200_Server,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:H200_Server|method4,train:matmul,MatMul,modeling:H200_Server,method4,not_connected,尚未配置评估组件,,
train:matmul|modeling:R200_Server|profile,train:matmul,MatMul,modeling:R200_Server,profile,not_connected,尚未接入实测参考,,
train:matmul|modeling:R200_Server|roofline,train:matmul,MatMul,modeling:R200_Server,roofline,succeeded,,0.134217728,roofline
train:matmul|modeling:R200_Server|tilesim,train:matmul,MatMul,modeling:R200_Server,tilesim,unsupported,TileSim 的 R200 配置缺少 BF16 计算/向量参数；未改用 FP16,,
train:matmul|modeling:R200_Server|method3,train:matmul,MatMul,modeling:R200_Server,method3,not_connected,尚未配置评估组件,,
train:matmul|modeling:R200_Server|method4,train:matmul,MatMul,modeling:R200_Server,method4,not_connected,尚未配置评估组件,,
train:matmul|tilesim:910B1|profile,train:matmul,MatMul,tilesim:910B1,profile,not_connected,尚未接入实测参考,,
train:matmul|tilesim:910B1|roofline,train:matmul,MatMul,tilesim:910B1,roofline,unsupported,缺少此型号的 Roofline 规格（矩阵/向量峰值、整卡 HBM 带宽）,,
train:matmul|tilesim:910B1|tilesim,train:matmul,MatMul,tilesim:910B1,tilesim,succeeded,,3.4319891447570026,dsl-eng
train:matmul|tilesim:910B1|method3,train:matmul,MatMul,tilesim:910B1,method3,not_connected,尚未配置评估组件,,
train:matmul|tilesim:910B1|method4,train:matmul,MatMul,tilesim:910B1,method4,not_connected,尚未配置评估组件,,
train:matmul|tilesim:910B4|profile,train:matmul,MatMul,tilesim:910B4,profile,not_connected,尚未接入实测参考,,
